,name,lat,lng,line
0,Chilonzor,41.2741,69.2023,Chilonzor
1,Olmazor,41.2655,69.1895,Chilonzor
2,Bunyodkor,41.3117,69.2415,Chilonzor
3,Amir Temur hiyoboni,41.313,69.2796,Chilonzor
4,Mustaqillik maydoni,41.315,69.266,Chilonzor
5,Paxtakor,41.3122,69.2561,Chilonzor
6,Mirzo Ulug‘bek,41.2858,69.2155,Chilonzor
7,Novza,41.2942,69.2266,Chilonzor
8,Milliy bog',41.3033,69.2361,Chilonzor
9,Hamid Olimjon,41.3216,69.2889,Chilonzor
10,Pushkin,41.3255,69.3005,Chilonzor
11,Buyuk Ipak Yo‘li,41.3262,69.3275,Chilonzor
12,Beruniy,41.3456,69.2066,Uzbekistan
13,Tinchlik,41.3392,69.2158,Uzbekistan
14,Chorsu,41.3269,69.2351,Uzbekistan
15,G‘afur G‘ulom,41.3225,69.2455,Uzbekistan
16,Alisher Navoiy,41.3164,69.2525,Uzbekistan
17,O‘zbekiston,41.3106,69.2547,Uzbekistan
18,Kosmonavtlar,41.3039,69.2678,Uzbekistan
19,Oybek,41.2981,69.2747,Uzbekistan
20,Toshkent,41.2997,69.2869,Uzbekistan
21,Mashinasozlar,41.3033,69.3047,Uzbekistan
22,Do‘stlik,41.2953,69.3244,Uzbekistan
23,Turkiston,41.3811,69.2944,Yunusobod
24,Yunusobod,41.3711,69.2886,Yunusobod
25,Shahriston,41.3547,69.2872,Yunusobod
26,Bodomzor,41.3344,69.2828,Yunusobod
27,Minor,41.3275,69.2817,Yunusobod
28,Abdulla Qodiriy,41.3197,69.2808,Yunusobod
29,Yunus Rajabiy,41.3125,69.2794,Yunusobod
30,Ming O'rik,41.2994,69.2764,Yunusobod
31,Texnopark,41.2944,69.3258,Ring
32,Yashnobod,41.2869,69.34,Ring
33,Tuzel,41.2828,69.3514,Ring
34,Olmos,41.2758,69.3589,Ring
35,Rohat,41.2661,69.3622,Ring
36,Yangiobod,41.2522,69.3517,Ring
37,Quylyuk,41.2372,69.3361,Ring
